at_Q80_time_2	at_Q80_time_6	at_Q80_time_10	at_Q92_time_2	at_Q92_time_6	at_Q92_time_10	at_Q111_time_2	at_Q111_time_6	at_Q111_time_10	at_Q140_time_2	at_Q140_time_6	at_Q140_time_10	at_Q175_time_2	at_Q175_time_6	at_Q175_time_10
1700007P06Rik	-0.0007417854	0.001868629	0.00298242	0.001216107	0.02184214	0.001739155	1.308599e-05	0.01668877	0.003579089	0.002506224	0.006520859	0.0113289	0.008551851	-0.002006382	0.001840642
1700008O03Rik	0.005981666	0.02238793	0.0619132	-0.004183591	-0.1131635	0.04711233	0.0506948	-0.08193678	0.2072278	0.01627362	-0.1093889	0.06611479	0.01994039	-0.1261612	0.02242039
1700009J07Rik	-0.01228923	-0.006604225	-0.02747055	-0.007841484	0.005714141	-0.0410855	-0.01023613	0.02258621	-0.1166437	-0.005785074	0.02270041	-0.1156467	-0.004494159	-0.004230291	-0.1330734
1700010I14Rik	-0.01993824	0.01530575	-0.06450686	0.008392067	0.009194556	-0.02554227	-0.02640495	0.09402918	0.1652538	-0.02302991	0.1562314	0.146315	0.01720912	0.2326224	0.2756758
1700012B09Rik	0.0003744953	0.01610025	-0.03450698	-0.01526883	0.02421373	-0.1106838	0.02241932	0.03612474	-0.001862092	-6.299201e-05	0.1401793	-0.03198134	-0.03438293	0.06310385	0.06818443
1700015F17Rik	-0.01083981	-0.006860469	-0.03602454	-0.01707634	-0.024766	-0.06914756	-0.001470422	-0.07110248	-0.1927299	-0.02257355	-0.08512465	-0.2230817	-0.04325162	-0.07740249	-0.1780869
1700016K19Rik	-0.05076454	0.0278638	-0.003421498	-0.0006548821	0.06266359	-0.08365973	-0.00805178	-0.01299587	-0.07907093	-0.02168682	0.1546271	-0.01454052	-0.01165084	-0.01947277	-0.03009734
1700016P03Rik	-0.01811033	0.005764803	0.1741405	-0.01677254	-0.02957648	0.07197805	-0.1061024	-0.1034667	-0.2222718	-0.04052301	-0.1172059	0.003716286	-0.06532135	-0.1931267	-0.1816109
1700017B05Rik	-0.04833346	-0.00518214	-0.02452992	-0.0331254	-0.03085104	0.06522815	0.02676701	0.1271393	0.1816708	0.005677345	-0.06057728	0.2643871	-0.0286085	0.04630832	0.2240796
1700018A04Rik	-0.01832043	-0.007473706	-0.0166851	-0.005504995	-0.02070526	-0.005271709	-0.003944466	-0.008834496	-0.07078405	-0.01407505	-0.01089504	0.03228802	-0.03946569	-0.03203257	-0.03607801
1700019B03Rik	0.002404465	-0.004866826	-0.004873884	0.009514	-0.001341458	0.02733374	0.0007105539	-0.01316219	0.10038	0.001852605	0.1052927	0.1438697	0.009469472	0.06126147	0.1917207
1700019D03Rik	-0.03390184	-0.03523667	-0.1129269	-0.07356228	0.04433611	0.09614658	0.03533623	0.1502435	0.1959826	0.01538868	0.06339963	0.2673325	0.06950526	0.1140041	0.1977202
1700019G17Rik	0.03191952	-0.001995525	0.1531081	-0.02613499	-0.03859273	0.06251626	0.007949501	0.008352137	0.005246508	0.08110576	0.03348991	-0.005375021	0.002333395	-0.02217168	-0.08360325
1700020I14Rik	-0.04946824	-0.03298156	-0.07890828	-0.05719123	-0.07238358	0.03233207	-0.03367594	0.02422427	0.04031929	-0.0106931	-0.02974864	0.02051132	-0.04447856	-0.009737201	-0.05917063
1700020L24Rik	-0.006616911	0.004617781	0.08206265	-0.01161033	-0.02408412	0.06394461	0.02129855	0.08135019	0.260049	-0.01029353	0.03045284	0.2846181	0.01320589	0.1870745	0.2441325
1700021F05Rik	0.05310022	0.02148647	0.05688554	0.03841457	0.05182885	0.09384325	0.07958723	0.05170158	0.04865221	0.03081361	0.03979115	0.07412377	0.02330662	0.05952271	0.07130231
1700021J08Rik	0.01864658	0.007345687	-0.06967748	-0.02202965	0.04932393	-0.08308188	-0.02775798	-0.01138705	-0.1017639	-0.04292684	-0.01133876	-0.2414728	-0.06393374	0.0008915081	-0.2969411
1700021K19Rik	0.03302143	0.01217346	-0.01459071	-0.002732197	-0.01197207	-0.05822756	-0.006404697	-0.0009318357	-0.006506331	-0.01156076	0.02329629	-0.00949517	-0.02131115	0.04274686	0.04165537
1700021N21Rik	0.002152579	0.007832162	-0.001394535	0.01348536	-0.01212527	-0.02973783	-0.01058628	0.01790299	-0.1009215	0.003699412	0.01893432	-0.2222886	0.008769359	-0.05327855	-0.1143788
1700023E05Rik	0.003264682	0.02620458	0.03612515	-0.007885384	0.04357703	0.1242947	-0.0121183	0.07414644	0.2528678	-0.01513983	0.2157489	0.3864036	0.009815139	0.2092301	0.3112582
1700023F06Rik	-0.01046675	-0.08793191	0.052902	-0.002653464	0.07634236	0.03177545	0.05655658	0.0936635	0.1369999	-0.008350426	0.0435524	0.2214469	0.02774812	0.07702375	-0.003390189
1700024P16Rik	0.009102616	-0.04188371	-0.02259299	-0.02016019	-0.015547	0.03781172	0.011834	0.03095046	0.1983451	0.004096267	0.07833491	0.1966022	0.00248221	0.1465878	0.2382407
1700025G04Rik	-0.06751606	0.001774989	-0.09891713	-0.05553692	-0.04332531	-0.03075367	-0.1059994	0.03958598	0.05857134	-0.02648665	0.03981003	-0.01581357	-0.0986555	0.06498403	0.03465698
1700026D08Rik	-0.06448071	0.05525021	-0.07980598	-0.06950741	0.01186832	-0.05222412	-0.0140461	-0.01819687	-0.1386471	-0.05979804	0.1820563	-0.1642133	-0.04757248	0.01477262	-0.2388344
1700026L06Rik	0.005840511	0.03615107	-0.03031973	0.01486984	0.005183223	-0.02385542	-0.001627968	0.04002748	-0.08278588	0.007056273	0.1500716	-0.07958103	0.02884778	0.08939842	-0.1010553
1700028P14Rik	-0.007441559	0.02008678	0.005049868	-0.01024136	0.0183227	-0.05211823	-0.01244745	-0.01278317	0.05664355	-0.0009103991	0.1052249	0.01232812	0.005825526	0.0157657	-0.00258287
1700029I15Rik	0.002007469	-0.03718211	-0.001705978	0.03900529	0.008843752	-0.04950013	-0.03946187	-0.09193036	-0.2564121	0.008190338	-0.1030573	-0.2507588	-0.02717453	-0.1588051	-0.2903395
1700029J07Rik	-0.09501696	-0.005108174	-0.1169528	-0.08862977	0.004032658	-0.09519546	-0.06479243	-0.01400168	-0.112014	-0.04400882	-0.04165924	-0.2712303	-0.04524782	-0.1742275	-0.3742048
1700029M20Rik	-0.01052138	-0.01378026	0.008524102	-0.01237084	-0.02806849	0.04534989	-0.0167913	-0.02686155	0.01027071	-0.01496048	-0.01771809	-0.009157224	-0.01040183	-0.05149579	0.04142931
1700030C10Rik	-0.02331228	-0.007643341	-0.000153265	0.03116066	-0.02847788	-0.03362744	0.02557802	0.04212197	0.02815669	-0.003245187	0.06304298	-0.06127699	-0.01925418	0.1365391	-0.20248
